,groupRef,typeRef,unit,value
2020-03-16 22:45:29+00:00,weatherRef,UBC Running Mean Temp,°C,5.731365
2020-03-16 22:45:29+00:00,weatherRef,UBC Target Comfort Temp,°C,20.691350
2020-03-16 22:45:55+00:00,weatherRef,UBC Running Mean Temp,°C,5.731365
2020-03-16 22:45:55+00:00,weatherRef,UBC Target Comfort Temp,°C,20.691350
2020-03-16 22:52:21+00:00,weatherRef,UBC Running Mean Temp,°C,5.731363
2020-03-16 22:52:21+00:00,weatherRef,UBC Target Comfort Temp,°C,20.691350
2020-03-16 22:52:44+00:00,weatherRef,UBC Running Mean Temp,°C,5.731363
2020-03-16 22:52:44+00:00,weatherRef,UBC Target Comfort Temp,°C,20.691350
2020-03-16 22:59:10+00:00,weatherRef,UBC Running Mean Temp,°C,5.731361
2020-03-16 22:59:10+00:00,weatherRef,UBC Target Comfort Temp,°C,20.691349
2020-03-16 22:59:31+00:00,weatherRef,UBC Running Mean Temp,°C,5.768620
2020-03-16 22:59:31+00:00,weatherRef,UBC Target Comfort Temp,°C,20.703644
2020-03-16 23:00:00+00:00,weatherRef,UBC Humidity,%RH,65.000000
2020-03-16 23:00:00+00:00,weatherRef,UBC Windspeed,m/s,4.680000
2020-03-16 23:00:00+00:00,weatherRef,UBC Solar Radiation,W/m²,486.000000
2020-03-16 23:00:00+00:00,weatherRef,UBC Condition,omit,clear
2020-03-16 23:00:00+00:00,weatherRef,UBC Precipitation Probability,%,1.000000
2020-03-16 23:00:00+00:00,weatherRef,UBC Cloud Cover,%,0.000000
2020-03-16 23:00:00+00:00,weatherRef,UBC Dewpoint,°C,0.290000
2020-03-16 23:00:00+00:00,weatherRef,UBC Precipitation Intensity,mm,0.000000
2020-03-16 23:00:00+00:00,weatherRef,UBC Wind Bearing,deg,247.500000
2020-03-16 23:00:00+00:00,weatherRef,UBC Visibility,km,16.093000
2020-03-16 23:00:00+00:00,weatherRef,UBC Pressure,kPa,102.070000
2020-03-16 23:00:00+00:00,weatherRef,UBC Temp,°C,8.200000
2020-03-16 23:00:00+00:00,weatherRef,UBC Precipitation Type,omit,rain
2020-03-16 23:05:55+00:00,weatherRef,UBC Target Comfort Temp,°C,20.691348
2020-03-16 23:05:55+00:00,weatherRef,UBC Running Mean Temp,°C,5.731359
2020-03-16 23:06:17+00:00,weatherRef,UBC Target Comfort Temp,°C,20.703644
2020-03-16 23:06:17+00:00,weatherRef,UBC Running Mean Temp,°C,5.768618
2020-03-16 23:12:44+00:00,weatherRef,UBC Target Comfort Temp,°C,20.691348
2020-03-16 23:12:44+00:00,weatherRef,UBC Running Mean Temp,°C,5.731356
