,uniqueId,max,min,mean,std,update_rate
92,Elec Submeters LEED-ATS-S1 Utilities ATS-S1_EnergyPosSumNR ATS-S1_EnergyPosSumNR,9199994.0,9195847.0,9197895.3125,1346.6562713015383,0.6666666666666666
93,Elec Submeters LEED-ATS-S3 Utilities ATS-S3_EnergyPosSum ATS-S3_EnergyPosSum,19981506.0,19973636.0,19977536.958333332,2316.072537342025,0.6666666666666666
94,Elec Submeters LEED-ATS-S3 Utilities ATS-S3_EnergyPosSumNR ATS-S3_EnergyPosSumNR,19981506.0,19973636.0,19977536.875,2316.0968967419003,0.6666666666666666
95,Elec Submeters LEED-CH-1 Utilities CH-1_EnergyPosSum CH-1_EnergyPosSum,6761644.0,6760222.5,6760891.541666667,501.2313861699081,0.6666666666666666
96,Elec Submeters LEED-CH-1 Utilities CH-1_EnergyPosSumNR CH-1_EnergyPosSumNR,6761644.0,6760222.5,6760891.541666667,501.21948979489474,0.6666666666666666
97,Elec Submeters LEED-CH-2 Utilities CH-2_EnergyPosSum CH-2_EnergyPosSum,2395538.75,2392832.0,2394200.875,842.3682515844324,0.6666666666666666
98,Elec Submeters LEED-CH-2 Utilities CH-2_EnergyPosSumNR CH-2_EnergyPosSumNR,2395540.25,2392832.0,2394201.5364583335,842.58574913961,0.6666666666666666
99,Elec Submeters LEED-CH-3 Utilities CH-3_EnergyPosSum CH-3_EnergyPosSum,6546714.0,6545071.5,6545933.3125,444.3852151167907,0.6666666666666666
100,Elec Submeters LEED-CH-3 Utilities CH-3_EnergyPosSumNR CH-3_EnergyPosSumNR,6546715.5,6545071.5,6545933.458333333,444.4517640499777,0.6666666666666666
101,Elec Submeters LEED-CH-4 Utilities CH-4_EnergyPosSum CH-4_EnergyPosSum,5314.479004,5314.479004,5314.479003999995,0.0,0.6666666666666666
102,Elec Submeters LEED-CH-4 Utilities CH-4_EnergyPosSumNR CH-4_EnergyPosSumNR,5314.479004,5314.479004,5314.479003999995,0.0,0.6666666666666666
103,Elec Submeters LEED-G1 Utilities G1_EnergyPosSum G1_EnergyPosSum,0.0,0.0,0.0,0.0,0.6666666666666666
104,Elec Submeters LEED-G1 Utilities G1_EnergyPosSumNR G1_EnergyPosSumNR,0.0,0.0,0.0,0.0,0.6666666666666666
105,Elec Submeters LEED-LV-DCA Utilities LV-DCA_EnergyPosSum LV-DCA_EnergyPosSum,7652204.0,7646411.0,7649301.635416667,1724.136233756287,0.6666666666666666
106,Elec Submeters LEED-LV-DCA Utilities LV-DCA_EnergyPosSumNR LV-DCA_EnergyPosSumNR,7652213.5,7646421.5,7649311.114583333,1723.928048800836,0.6666666666666666
107,Elec Submeters LEED-LV-DCB Utilities LV-DCB_EnergyPosSum LV-DCB_EnergyPosSum,4007778.5,4002960.5,4005363.7083333335,1436.6040661605355,0.6666666666666666
108,Elec Submeters LEED-LV-DCB Utilities LV-DCB_EnergyPosSumNR LV-DCB_EnergyPosSumNR,4007775.5,4002957.5,4005360.7604166665,1436.6449408464114,0.6666666666666666
109,Elec Submeters LEED-LV-PA Utilities LV-PA_EnergyPosSum LV-PA_EnergyPosSum,42021860.0,42009048.0,42015439.083333336,3858.125417550267,0.6666666666666666
110,Elec Submeters LEED-LV-PA Utilities LV-PA_EnergyPosSumNR LV-PA_EnergyPosSumNR,42021860.0,42009044.0,42015432.666666664,3857.7438745320796,0.6666666666666666
111,Elec Submeters LEED-LV-PB Utilities LV-PB_EnergyPosSum LV-PB_EnergyPosSum,37452040.0,37438528.0,37445184.666666664,3977.347888601233,0.6666666666666666
